/mntdatalora/src/High-DOF-Arm-Planning/maps/map1.txt
1.5708,0.785398,1.5708,0.785398,1.5708,
1.54404,0.825576,1.56108,0.729681,1.62408,
1.51728,0.865754,1.55137,0.673964,1.67736,
1.49052,0.905932,1.54166,0.618247,1.73064,
1.46376,0.94611,1.53194,0.56253,1.78392,
1.43701,0.986288,1.52223,0.506812,1.8372,
1.41025,1.02647,1.51251,0.451095,1.89048,
1.38349,1.06664,1.5028,0.395378,1.94376,
1.35673,1.10682,1.49309,0.339661,1.99704,
1.32997,1.147,1.48337,0.283944,2.05032,
1.30322,1.18718,1.47366,0.228227,2.1036,
1.27646,1.22736,1.46395,0.17251,2.15689,
1.2497,1.26753,1.45423,0.116793,2.21017,
1.22294,1.30771,1.44452,0.0610755,2.26345,
1.19619,1.34789,1.43481,0.00535835,2.31673,
1.16943,1.38807,1.42509,6.23283,2.37001,
1.14267,1.42825,1.41538,6.17711,2.42329,
1.11591,1.46843,1.40566,6.12139,2.47657,
1.08915,1.5086,1.39595,6.06568,2.52985,
1.0624,1.54878,1.38624,6.00996,2.58313,
1.03564,1.58896,1.37652,5.95424,2.63641,
1.00888,1.62914,1.36681,5.89852,2.68969,
0.982122,1.66932,1.3571,5.84281,2.74297,
0.955364,1.70949,1.34738,5.78709,2.79626,
0.928606,1.74967,1.33767,5.73137,2.84954,
0.901848,1.78985,1.32796,5.67566,2.90282,
0.87509,1.83003,1.31824,5.61994,2.9561,
0.848332,1.87021,1.30853,5.56422,3.00938,
0.821575,1.91038,1.29881,5.5085,3.06266,
0.794817,1.95056,1.2891,5.45279,3.11594,
0.768059,1.99074,1.27939,5.39707,3.16922,
0.741301,2.03092,1.26967,5.34135,3.2225,
0.714543,2.0711,1.25996,5.28564,3.27578,
0.707228,2.07758,1.30272,5.22977,3.30843,
0.699914,2.08406,1.34549,5.1739,3.34108,
0.692599,2.09053,1.38825,5.11803,3.37373,
0.685284,2.09701,1.43102,5.06216,3.40638,
0.67797,2.10349,1.47378,5.00629,3.43903,
0.670655,2.10997,1.51655,4.95043,3.47168,
0.66334,2.11645,1.55931,4.89456,3.50433,
0.656026,2.12293,1.60207,4.83869,3.53698,
0.648711,2.12941,1.64484,4.78282,3.56963,
0.641397,2.13589,1.6876,4.72695,3.60228,
0.634082,2.14237,1.73037,4.67108,3.63493,
0.626767,2.14885,1.77313,4.61522,3.66758,
0.619453,2.15533,1.8159,4.55935,3.70023,
0.612138,2.16181,1.85866,4.50348,3.73288,
0.604823,2.16829,1.90143,4.44761,3.76553,
0.597509,2.17477,1.94419,4.39174,3.79818,
0.590194,2.18125,1.98695,4.33588,3.83083,
0.582879,2.18773,2.02972,4.28001,3.86348,
0.575565,2.19421,2.07248,4.22414,3.89613,
0.56825,2.20069,2.11525,4.16827,3.92879,
0.560936,2.20717,2.15801,4.1124,3.96144,
0.553621,2.21365,2.20078,4.05653,3.99409,
0.546306,2.22012,2.24354,4.00067,4.02674,
0.538992,2.2266,2.2863,3.9448,4.05939,
0.531677,2.23308,2.32907,3.88893,4.09204,
0.524362,2.23956,2.37183,3.83306,4.12469,
0.517048,2.24604,2.4146,3.77719,4.15734,
0.509733,2.25252,2.45736,3.72132,4.18999,
0.502419,2.259,2.50013,3.66546,4.22264,
0.495104,2.26548,2.54289,3.60959,4.25529,
0.487789,2.27196,2.58566,3.55372,4.28794,
0.480475,2.27844,2.62842,3.49785,4.32059,
0.47316,2.28492,2.67118,3.44198,4.35324,
0.465845,2.2914,2.71395,3.38612,4.38589,
0.458531,2.29788,2.75671,3.33025,4.41854,
0.451216,2.30436,2.79948,3.27438,4.45119,
0.443901,2.31084,2.84224,3.21851,4.48384,
0.436587,2.31732,2.88501,3.16264,4.51649,
0.429272,2.3238,2.92777,3.10677,4.54914,
0.421958,2.33028,2.97053,3.05091,4.58179,
0.414643,2.33676,3.0133,2.99504,4.61444,
0.407328,2.34324,3.05606,2.93917,4.64709,
0.400014,2.34971,3.09883,2.8833,4.67974,
0.392699,2.35619,3.14159,2.82743,4.71239,
